abieamab,Abies amabilis,Pacific silver fir
thujplic,Thuja plicata,western redcedar
tiliamer,Tilia americana,American basswood
tilicaro,Tilia caroliniana,Carolina basswood
tilihete,Tilia heterophylla,white basswood
torrcali,Torreya californica,California torreya
torrtaxi,Torreya taxifolia,Florida torreya
toxivern,Toxicodendron vernix,poison sumac
tremlama,Trema lamarckiana,West Indies trema
tremmicr,Trema micrantha,Florida trema
tsugcana,Tsuga canadensis,eastern hemlock
tsugcaro,Tsuga caroliniana,Carolina hemlock
tsughete,Tsuga heterophylla,western hemlock
tsugmert,Tsuga mertensiana,mountain hemlock
ulmualat,Ulmus alata,winged elm
ulmuamer,Ulmus americana,American elm
ulmucras,Ulmus crassifolia,cedar elm
ulmurubr,Ulmus rubra,slippery elm
ulmusero,Ulmus serotina,September elm
ulmuthom,Ulmus thomasii,rock elm
umbecali,Umbellularia californica,California laurel
ungnspec,Ungnadia speciosa,Mexican buckeye
vaccarbo,Vaccinium arboreum,tree sparkleberry
vauqcali,Vauquelinia californica,Torrey vauquelinia
vauqpauc,Vauquelinia pauciflora,fewflower vauquelinia
vibulent,Viburnum lentago,nannyberry
vibunudu,Viburnum nudum,possumhaw viburnum
vibuobov,Viburnum obovatum,Walter viburnum
vibuprun,Viburnum prunifolium,blackhaw
viburufi,Viburnum rufidulum,rusty blackhaw
vibutril,Viburnum trilobum,American cranberrybush
washfili,Washingtonia filifera,California washingtonia
ximeamer,Ximenia americana,tallowwood
yuccaloi,Yucca aloifolia,aloe yucca
yuccbrev,Yucca brevifolia,Joshua tree
yucccarn,Yucca carnerosana,Carneros yucca
yuccelat,Yucca elata,soaptree yucca
yuccfaxo,Yucca faxoniana,Faxon yucca
yuccglor,Yucca gloriosa,moundlily yucca
yuccmoha,Yucca mohavensis,Mohave yucca
yuccrost,Yucca rostrata,beaked yucca
yuccscho,Yucca schottii,Schotts yucca
yucctorr,Yucca torreyi,Torrey yucca
yucctrec,Yucca treculeana,Trecul yucca
zantamer,Zanthoxylum americanum,common prickly ash
zantclav,Zanthoxylum clava-herculis,Hercules club
zantcori,Zanthoxylum coriaceum,Biscayne prickly ash
zantfaga,Zanthoxylum fagara,lime prickly ash
zantflav,Zanthoxylum flavum,West Indies satinwood
zanthirs,Zanthoxylum hirsutum,Texas Hercules club
